Date,Open,High,Low,Close,Adj Close,Volume
2005-12-31,123.41931060264851,123.97689622024009,122.84793143436826,123.4067242063325,87.26885223388672,3607019600
2006-12-31,131.12637435487542,131.70091648785717,130.54645395468904,131.1553783340758,93.83032566997635,17580332100
2007-12-31,147.83832656434808,148.6335059542105,146.86262943830147,147.78430291286028,107.6631918979356,39313707500
2008-12-31,122.24569159345664,123.71221308651648,120.5443083872437,122.09964438577886,90.64381190062511,75960832400
2009-12-31,94.92015871925959,95.85611098153251,94.00543654911102,94.98265868898422,72.45339637332492,62062517700
2010-12-31,114.17273796929254,114.87111097668844,113.35170651995946,114.20527788192507,88.84575141422333,52842437000
2011-12-31,126.9496828109499,127.85559517996651,125.9421431829059,126.9348015558152,100.68532380603608,54991433900
2012-12-31,138.09411978149413,138.76255999755858,137.38287982177735,138.14348007202148,111.90960162353515,35832734200
2013-12-31,164.38067433190724,165.0717062571692,163.70829361204116,164.4753571162148,136.21738772922092,30627778200
2014-12-31,193.20027729821584,193.99468267531623,192.33674603416807,193.2182935078939,163.17546160258945,27670351600
2015-12-31,206.1942858014788,207.22654748341395,205.02948415847052,206.1871827140687,177.54624291071815,31152292100
2016-12-31,209.32130977085657,210.2730553642152,208.3526194133456,209.44130930824886,184.2656619965084,26390533500
2017-12-31,244.6444621295093,245.24290891852513,243.9400795864394,244.69637465761951,219.71628597913036,17684746700
2018-12-31,274.5351796549155,276.01816683461465,272.70159273793496,274.339640947927,250.86985669383014,24388282200
2019-12-31,290.85377042255703,292.0534523252457,289.54829352242604,290.99559420631044,271.36525114755784,17650707500
2020-12-31,321.1926476399418,323.9164819528934,318.3560476190017,321.21648313499725,305.4658112657871,25390906800
2021-12-31,426.1647228664822,428.1253171648298,424.0164685930525,426.3194839235336,411.78882477775454,18596398600
2022-12-31,408.997688445437,412.530398061076,405.0431472352776,408.89346714703686,400.32116103457264,23784662100
2023-12-31,421.6076812007001,423.94531485884664,419.33487896758004,421.78067680027175,419.32613693458444,17171537000
